time;energy
0;470.0
1;1200.0
2;470.0
3;1200.0
4;470.0
5;1200.0
6;470.0
7;1200.0
8;470.0
9;1200.0
10;1198.54
11;471.46
12;1200.0
13;470.0
14;1200.0
15;470.0
16;1200.0
17;470.0
18;1200.0
19;1198.54
20;471.46
21;1200.0
22;470.0
23;1200.0
24;470.0
25;1200.0
26;470.0
27;1200.0
28;1198.54
29;471.46
30;1200.0
31;470.0
32;1200.0
33;470.0
34;1200.0
35;470.0
36;1200.0
37;1199.27
38;470.73
39;1200.0
40;470.0
41;1200.0
42;470.0
43;1200.0
44;470.0
45;1200.0
46;1199.27
47;470.73
48;1200.0
49;470.0
50;1200.0
51;470.0
52;1200.0
53;470.0
54;1200.0
55;1199.27
56;470.73
57;1200.0
58;470.0
59;1200.0
60;470.0
61;1200.0
62;470.0
63;1200.0
64;1198.54
65;471.46
66;1200.0
67;470.0
68;1200.0
69;470.0
70;1200.0
71;470.0
72;1200.0
73;1198.54
74;471.46
75;1200.0
76;470.0
77;1200.0
78;470.0
79;1200.0
80;470.0
81;1200.0
82;1198.54
83;471.46
84;1200.0
85;470.0
86;1200.0
87;470.0
88;1200.0
89;470.0
90;1200.0
91;1198.54
92;471.46
93;1200.0
94;470.0
95;1200.0
96;470.0
97;1200.0
98;470.0
99;1200.0
100;1198.54
101;471.46
102;1200.0
103;470.0
104;1200.0
105;470.0
106;1200.0
107;470.0
108;1200.0
109;1198.54
110;471.46
111;1200.0
112;470.0
113;1200.0
114;470.0
115;1200.0
116;470.0
117;1200.0
118;1198.54
119;471.46
120;1200.0
121;470.0
122;1200.0
123;470.0
124;1200.0
125;470.0
126;1200.0
127;1198.54
128;471.46
129;1200.0
130;470.0
131;1200.0
132;470.0
133;1200.0
134;470.0
135;1200.0
136;1199.27
137;470.73
138;1200.0
139;470.0
140;1200.0
141;470.0
142;1200.0
143;470.0
144;1200.0
145;1199.27
146;470.73
147;1200.0
148;470.0
149;1200.0
150;470.0
151;1200.0
152;470.0
153;1200.0
154;1199.27
155;470.73
156;1200.0
157;470.0
158;1200.0
159;470.0
160;1200.0
161;470.0
162;1200.0
163;1199.27
164;470.73
165;1200.0
166;470.0
167;1200.0
168;470.0
169;1200.0
170;470.0
171;1200.0
172;1199.27
173;470.73
174;1200.0
175;470.0
176;1200.0
177;470.0
178;1200.0
179;470.0
180;1200.0
181;1199.27
182;470.73
183;1200.0
184;470.0
185;1200.0
186;470.0
187;1200.0
188;470.0
189;1200.0
190;1199.27
191;470.73
192;1200.0
193;470.0
194;1200.0
195;470.0
196;1200.0
197;470.0
198;1200.0
199;1199.27
200;470.73
201;1200.0
202;470.0
203;1200.0
204;470.0
205;1200.0
206;470.0
207;1200.0
208;1199.27
209;470.73
210;1200.0
211;470.0
212;1200.0
213;470.0
214;1200.0
215;470.0
216;1200.0
217;1199.27
218;470.73
219;1200.0
220;470.0
221;1200.0
222;470.0
223;1200.0
224;470.0
225;1200.0
226;1199.27
227;470.73
228;1200.0
229;470.0
230;1200.0
231;470.0
232;1200.0
233;470.0
234;1200.0
235;1199.27
236;470.73
237;1200.0
238;470.0
239;1200.0
240;470.0
241;1200.0
242;470.0
243;1200.0
244;1199.27
245;470.73
246;1200.0
247;470.0
248;1200.0
249;470.0
250;1200.0
251;470.0
252;1200.0
253;1199.27
254;470.73
255;1200.0
256;470.0
257;1200.0
258;470.0
259;1200.0
260;470.0
261;1200.0
262;1198.54
263;471.46
264;1200.0
265;470.0
266;1200.0
267;470.0
268;1200.0
269;470.0
270;1200.0
271;1198.54
272;471.46
273;1200.0
274;470.0
275;1200.0
276;470.0
277;1200.0
278;470.0
279;1200.0
280;1198.54
281;471.46
282;1200.0
283;470.0
284;1200.0
285;470.0
286;1200.0
287;470.0
288;1200.0
289;1198.54
290;471.46
291;1200.0
292;470.0
293;1200.0
294;470.0
295;1200.0
296;470.0
297;1200.0
298;1198.54
299;471.46
300;1200.0
301;470.0
302;1200.0
303;470.0
304;1200.0
305;470.0
306;1200.0
307;1198.54
308;471.46
309;1200.0
310;470.0
311;1200.0
312;470.0
313;1200.0
314;470.0
315;1200.0
316;1198.54
317;471.46
318;1200.0
319;470.0
320;1200.0
321;470.0
322;1200.0
323;470.0
324;1200.0
325;1198.54
326;471.46
327;1200.0
328;470.0
329;1200.0
330;470.0
331;1200.0
332;470.0
333;1200.0
334;1198.54
335;471.46
336;1200.0
337;470.0
338;1200.0
339;470.0
340;1200.0
341;470.0
342;1200.0
343;1198.54
344;471.46
345;1200.0
346;470.0
347;1200.0
348;470.0
349;1200.0
350;470.0
351;1200.0
352;1198.54
353;471.46
354;1200.0
355;470.0
356;1200.0
357;470.0
358;1200.0
359;470.0
360;1200.0
361;1198.54
362;471.46
363;1200.0
364;470.0
365;1200.0
366;470.0
